ticker,classification,reasoning,theme
META,core,"The business description explicitly states a strategic pivot to the metaverse and AI, with significant investments in both areas. This indicates that these are core to the company's future growth strategy.","Metaverse, AR/VR, Gaming & Digital Reality Platforms"
U,core,"The company's primary revenue driver and IP is software development tools specifically for gaming, AR/VR, and metaverse applications, with a strong focus on metaverse and immersive technologies, AI-generated assets, and computer vision. Its market position and strategic investments in these areas indicate a core alignment with the investment theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms"
RBLX,core,Roblox's core business is a Metaverse platform that leverages user-generated content and digital entertainment. The company's strategic shift to proprietary cloud infrastructure and focus on monetization and partnerships further support its Metaverse platform as a service (PaaS) model.,"Metaverse, AR/VR, Gaming & Digital Reality Platforms"
EA,core,"EA's long-term strategy involves focusing on established, high-profitability franchises (e.g., Madden, FIFA, Star Wars) and developing new original intellectual property. This, coupled with its digital revenue stream exceeding $1 billion, indicates a core focus on digital gaming and entertainment, which aligns with the Metaverse, AR/VR, Gaming & Digital Reality Platforms theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms"
CAI,core,"The company's primary revenue driver is its AI-driven platform that analyzes molecular data to identify drug targets and predict treatment response, directly supporting drug discovery and development. Molecular profiling and machine learning are core to their business.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
RARE,core,"The company's primary revenue driver and IP is gene therapy, ASO/mRNA, and other modalities, addressing rare genetic disorders. They are investing in manufacturing infrastructure to support commercialization, indicating a commitment to scaling up their gene therapy programs.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
IONS,core,"The company's primary revenue driver is the development and commercialization of drugs, particularly those with a genetic basis. The description highlights FDA approvals, commercial success of a previous drug (Spinnraza), and a promising pipeline, all pointing to drug development as the core business. While partnerships are mentioned, the underlying technology and IP are in drug development, which falls under the gene editing/synthetic biology/AI drug discovery theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
MRNA,core,"Moderna's core business is mRNA drug development and manufacturing, with a significant pipeline of candidates targeting infectious diseases and cancer. The acquisition of OriCiro Genomics further strengthens its capabilities in this area.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
SRPT,core,"The company's primary revenue driver and core IP is gene therapy, specifically focused on treating muscular dystrophy. Their partnership with Catalent for manufacturing and their robust pipeline of gene therapies further solidify this classification.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
NTRA,core,"Signatera (mrd test) is a key product with Medicare coverage, indicating a core focus on gene editing and molecular diagnostics. Constellation is a bioinformatics platform that supports the analysis of genetic data, further reinforcing the core focus on genomic technologies.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
ILMN,core,"Illumina's core technology and market position are in next-generation sequencing (NGS), which is a fundamental technology in genomics, diagnostics, and increasingly, gene editing and synthetic biology. While they have expanded into diagnostics, their core strength remains the sequencing technology itself.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
ALNY,core,"The company's primary revenue driver and IP is RNAi technology, established with Patisiran's initial approval and further developed through a robust clinical pipeline spanning genetic medicine, cardio-metabolic diseases, and hepatic infections. Strategic partnerships and revenue generation from existing therapies like Leqvio further support this core focus.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
TEM,core,"The company's strategic focus, proprietary data platform, and comprehensive platform offering directly support drug discovery and development within oncology, leveraging AI and machine learning. This aligns with the core theme of Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
PODD,core,"Insulet's OmniPod platform is a technologically advanced AID solution, positioning them as a key player in automated insulin delivery, which is a core component of gene editing, synthetic biology, AI drug discovery, and digital health. The proprietary algorithm is central to their technology.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
CERT,core,"Certara's core offerings and recent strategic focus are centered around software platforms used in drug development and regulatory processes, with a strong emphasis on computational modeling and cloud-based solutions. This aligns directly with the gene editing, synthetic biology, AI drug discovery, and digital health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
UTHR,core,"The company is a pioneer in regenerative medicine, utilizing advanced technologies like xenotransplantation, allogenic recolorization, and autologous bioprinting. They have successfully performed human transplants of engineered kidneys and lungs, and are developing 3D printed lung scaffolds. This aligns directly with the gene editing, synthetic biology, and AI drug discovery/digital health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health"
NVDA,core,"NVI DIA's core revenue driver and IP is its GPUs, which are heavily used for AI training and deployment. The company's market position and strategic investments directly align with the AI infrastructure theme.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
PLTR,core,"The company's revenue growth is significantly driven by its AI Platform (AIP) which integrates Large Language Models (LLMs) for commercial and military applications, and it is actively pursuing partnerships with major technology players like OpenAI and Microsoft Azure Government. This indicates that AI is a central component of its business model.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
SNPS,core,"Synopsys is heavily investing in AI, particularly generative AI through its Copilot product with Microsoft Azure OpenAI, to automate workflows and enhance efficiency in chip design. This aligns with the core theme of AI infrastructure, chips, generative AI platforms, and enterprise software.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
CDNS,core,"The company's strategy heavily focuses on digital twins and AI-driven solutions, including investment in AI-driven chip design tools. This aligns with the AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software theme.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
GOOG,core,"The company is investing in advanced technology like quantum computing chips (Willow) and has a strong focus on AI leadership and innovation, positioning it as a core player in the AI infrastructure space.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
AVGO,core,"Broadcom is actively shifting towards software-centric solutions, with a strong focus on AI chip development (XPUs) and partnerships with major players in the AI space. This aligns with the core theme of AI infrastructure, chips, generative AI platforms, and enterprise software.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
INTC,core,"The company's primary revenue driver and IP is its semiconductor manufacturing capacity and R&D investment in AI chips. The description highlights significant investment in manufacturing facilities and R&D, directly related to AI chip development.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software"
NET,core,"The company's business description explicitly mentions 'AI-Driven Infrastructure,' 'Edge Computing,' and 'Cloud Computing' as key areas of focus, indicating that these are its primary revenue drivers and core IP. The acquisitions in network security and cloud infrastructure further support this classification.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
EQIX,core,"Equinix's primary revenue driver and IP is its data center infrastructure, including investments in expanding its footprint, advanced infrastructure management tools, and partnerships to meet AI demand. The company's strategy is heavily focused on data centers and cloud computing.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
DLR,core,"Digital Realty is a data center provider with a strong history of acquisitions and a focus on expanding its global footprint in the data center space. This aligns directly with the core of the cloud computing, data centers, hyperscalers & network infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
ANET,core,"The company's primary revenue driver and IP is cloud networking, data centers, and hyperscale networking offerings, as evidenced by their strategic focus on AI-driven networking, M&A in this space, and superior low-latency architecture. They are a key player in the cloud networking market.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
SMCI,core,"Supermicro's strategic focus is on high-performance computing and AI, with significant investments in liquid-cooled server technology and partnerships to capitalize on the growing demand for AI, HPC, and energy-efficient data center solutions. This positions them as a core player in the cloud computing, data centers, and network infrastructure space.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
NTNX,core,"The company has transitioned to a software-defined infrastructure model, indicating its primary revenue driver and IP are related to software solutions for data centers and cloud computing. The subscription-based revenue model further supports this.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
HPE,core,"HPE's strategic acquisitions in data management, storage, and high-performance computing, coupled with the launch of GreenLake Hybrid Cloud, demonstrate a clear focus on cloud-centric revenue and hybrid cloud solutions. This aligns with the investment theme of Cloud Computing, Data Centers, Hyperscaleers & Network Infrastructure.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
NTAP,core,"NetApp is recognized as a leader in hybrid cloud storage management, indicating their primary revenue driver and IP is focused on cloud storage solutions. The strategic partnership with Lenovo further expands their reach in the cloud market.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
CSCO,core,"The company's primary revenue driver and IP is its focus on cloud-based enterprise solutions (SD-WAN, AI) and data center technologies, as highlighted by its strategic shift and acquisitions in this area.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
PSTG,core,"The company's primary revenue driver and IP is all-flash storage, which is a critical component of data centers and cloud infrastructure. Their strategic investment in an AI cloud provider further reinforces their focus on this theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
MSFT,core,"The business description explicitly states a strategic shift towards cloud-based models and heavy investment in Artificial Intelligence (AI), which is a key growth driver. This aligns directly with the core of the Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
ORCL,core,"Oracle's strategic investments, strong cloud growth, and focus on expanding into key vertical markets like healthcare and AI demonstrate a primary focus on cloud infrastructure and AI capabilities.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
MRVL,core,"The company's strategic shift to custom silicon for data processing and storage, coupled with its existing market position in networking and storage products, positions it as a core player in the cloud computing, data centers, and network infrastructure space. Their focus on AI chip demand further reinforces this classification.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
MDB,core,"Atlas, MongoDB's SaaS offering, is the primary revenue driver and a cloud-based database solution, directly aligning with the core of the cloud computing, data centers, and hyperscale infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure"
BEPC,core,"The company operates approximately 13,948 MW of installed renewable energy capacity, directly related to renewable energy infrastructure. Being a subsidiary of Brookfield Renewable Partners further strengthens its position in the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
CEG,core,"The company has significant investments in renewable energy (solar, wind) and a major contract to restart and upgrade a nuclear reactor, demonstrating a strong commitment to clean energy and maintaining a robust nuclear generation base. This aligns directly with the theme of Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
AES,core,"AES's strategic shift, substantial renewable energy pipeline, energy storage leadership via Fluence JV, and strategic M&A focus all point to renewable energy and energy storage as its primary business drivers.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
XEL,core,"The company's primary focus is on renewable energy sources like wind and nuclear power, coupled with significant investment in grid modernization to integrate these sources. This aligns directly with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
D,core,"The company has a significant commitment to renewable energy growth through investments in solar and wind capacity, as well as a strategy of acquiring assets in the renewable energy sector. This aligns with the core theme of renewable energy and grid storage/power for digital infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
CWEN,core,"The company's primary revenue driver is power generation from renewable energy assets, directly aligning with the renewable energy theme and contributing to grid reliability.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
PNW,core,"The company is actively transitioning to renewable energy and has a significant investment in energy storage, positioning it as a key player in the grid stability associated with increasing renewable penetration. This aligns directly with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
NEE,core,"NextEra Energy is aggressively transitioning its generation portfolio towards renewables, with a significant portion now from wind and solar. This indicates a primary focus on renewable energy generation, aligning with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
EVRG,core,"The company has a diversified generation portfolio including nuclear, coal, natural gas, and wind, with a significant generating capacity. This aligns with the theme of renewable energy and power generation, and the company's history of acquisitions and strategic growth supports its role in the energy infrastructure sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
DUK,core,"Duke Energy's strategic shift is heavily focused on renewable energy and grid infrastructure investment, making it a core player in the renewable energy and grid modernization space.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
LNT,core,"The company has a strategic shift towards renewable energy through acquisitions and initiatives supporting EV adoption, indicating a forward-looking strategy aligned with the energy transition. This suggests renewable energy generation is a core part of their business.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
ENPH,core,The company's primary revenue driver and key differentiator is its grid-forming microinverter technology (IQ8 series) which enables solar-only backup power. This directly aligns with the renewable energy and grid storage aspects of the investment theme.,"Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
WEC,core,"WEC is actively investing in renewable energy sources like wind and biomass, alongside upgrades to existing power plants. This directly aligns with the renewable energy aspect of the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
BWXT,core,"BWXT is the only continuous North American producer of nuclear steam generators, a critical component for commercial nuclear power. This positions them directly within the nuclear energy sector and core to the industry's needs.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
PCG,core,"PG&E has made a strategic investment in renewable energy (solar, battery storage, hydropower) and grid modernization, as well as significant investments in wildfire prevention and mitigation technologies. This aligns directly with the theme of renewable energy, grid storage, and power for digital infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
SO,core,"The company is strategically diversifying into distributed energy solutions, digital wireless communications, and fiber optics, which directly aligns with the renewable energy, grid storage, and digital infrastructure themes. Its focus on distributed energy and resilience solutions positions it well to capitalize on the increasing demand for localized and reliable power grids.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
ES,core,"The company is actively transitioning to cleaner energy sources like wind, hydro, and solar, and has invested in EV charging stations, directly aligning with the renewable energy and grid modernization theme. This indicates a primary focus on clean energy infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
FSLR,core,"First Solar's core business is the manufacturing of solar panels, a key component of renewable energy infrastructure. Their technology and focus on utility-scale projects align directly with the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
PPL,core,"The company has significant investments in advanced cleaner energy technologies and grid modernization, indicating a strategic focus on renewable energy infrastructure and grid resilience. This aligns with the theme of renewable energy and grid modernization.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
CMS,core,"The company has a history of investment in new power plant technology and energy sources, and a strong commitment to renewable energy, indicating a primary focus on energy infrastructure and clean energy solutions. The strategic shift to corporate focus further supports this.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
GEV,core,GEV's revenue model centers on energy equipment manufacturing and services with a strong emphasis on renewable energy technologies. This aligns directly with the investment theme of renewable energy technologies.,"Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure"
